cargo_id,origin,destination,distance_km,cargo_type,cargo_weight_tons,pickup_hour,urgency
C20000,Delhi,Bengaluru,2150,FMCG,5.64,0,normal
C20001,Pune,Mumbai,150,Electronics,4.84,19,urgent
C20002,Hyderabad,Bengaluru,570,Auto Parts,6.48,20,same_day
C20003,Delhi,Bengaluru,2150,Textiles,4.56,18,normal
C20004,Mumbai,Ahmedabad,530,Electronics,0.78,17,normal
C20005,Mumbai,Pune,150,Electronics,1.26,17,normal
C20006,Bengaluru,Hyderabad,570,Pharma,0.71,19,normal
C20007,Kolkata,Delhi,1500,Pharma,0.57,2,same_day
C20008,Hyderabad,Bengaluru,570,FMCG,1.21,8,normal
C20009,Mumbai,Delhi,1400,Pharma,0.3,4,normal
C20010,Mumbai,Delhi,1400,E-commerce Parcels,0.59,11,normal
C20011,Mumbai,Pune,150,FMCG,0.34,12,normal
C20012,Kolkata,Bhubaneswar,440,Textiles,0.61,6,same_day
C20013,Chennai,Hyderabad,630,Electronics,1.23,9,urgent
C20014,Hyderabad,Chennai,630,Auto Parts,3.08,18,urgent
C20015,Jaipur,Delhi,280,Pharma,4.59,13,same_day
C20016,Jaipur,Ahmedabad,670,FMCG,3.08,1,normal
C20017,Bengaluru,Mumbai,980,Textiles,6.15,12,same_day
C20018,Jaipur,Delhi,280,Pharma,0.44,9,urgent
C20019,Bengaluru,Hyderabad,570,E-commerce Parcels,0.91,17,same_day
C20020,Jaipur,Ahmedabad,670,FMCG,6.74,7,normal
C20021,Delhi,Jaipur,280,Auto Parts,0.77,15,same_day
C20022,Ahmedabad,Jaipur,670,Furniture,1.01,9,urgent
C20023,Mumbai,Ahmedabad,530,Pharma,1.85,23,normal
C20024,Mumbai,Pune,150,Industrial Goods,0.36,19,normal
C20025,Delhi,Lucknow,550,Pharma,1.72,19,normal
C20026,Jaipur,Ahmedabad,670,Industrial Goods,0.48,20,normal
C20027,Ahmedabad,Mumbai,530,Auto Parts,0.52,0,normal
C20028,Kolkata,Bhubaneswar,440,E-commerce Parcels,4.19,5,normal
C20029,Kolkata,Bhubaneswar,440,FMCG,2.55,13,normal
C20030,Delhi,Bengaluru,2150,Furniture,0.53,7,normal
C20031,Jaipur,Delhi,280,Auto Parts,2.51,17,normal
C20032,Jaipur,Ahmedabad,670,Electronics,4.61,4,urgent
C20033,Kolkata,Bhubaneswar,440,E-commerce Parcels,3.97,14,normal
C20034,Chennai,Hyderabad,630,FMCG,0.36,15,normal
C20035,Bengaluru,Mumbai,980,Electronics,1.17,8,normal
C20036,Bengaluru,Mumbai,980,Pharma,0.75,13,urgent
C20037,Hyderabad,Chennai,630,Electronics,0.21,12,normal
C20038,Delhi,Jaipur,280,Pharma,1.66,2,urgent
C20039,Mumbai,Pune,150,Pharma,3.42,21,normal
C20040,Kolkata,Bhubaneswar,440,Furniture,3.57,0,normal
C20041,Hyderabad,Bengaluru,570,Pharma,1.04,0,same_day
C20042,Jaipur,Ahmedabad,670,FMCG,0.62,0,normal
C20043,Bengaluru,Mumbai,980,Pharma,3.43,7,normal
C20044,Delhi,Jaipur,280,Auto Parts,0.53,0,same_day
C20045,Ahmedabad,Mumbai,530,E-commerce Parcels,1.0,20,urgent
C20046,Ahmedabad,Mumbai,530,FMCG,1.63,16,normal
C20047,Chennai,Hyderabad,630,Furniture,2.23,12,normal
C20048,Mumbai,Bengaluru,980,Auto Parts,1.36,9,normal
