truck_id,cargo_id,origin,destination,distance_km,truck_type,total_capacity_tons,available_capacity_tons,cargo_type,cargo_weight_tons,truck_departure_hour,cargo_pickup_hour,time_gap_hours,route_similarity,capacity_fit,driver_rating,on_time_rate,cancel_rate,route_deviation_rate,price_per_km_ton,quoted_price_inr,successful_match
T10000,C20000,Delhi,Bengaluru,2150,32FT,15.76,10.34,FMCG,5.64,4,0,3.75,0.94,1.0,4.34,0.795,0.088,0.036,1.14,13862,0
T10001,C20001,Pune,Mumbai,150,17FT,7.91,5.35,Electronics,4.84,18,19,1.33,0.959,1.0,4.54,0.995,0.036,0.074,1.09,793,1
T10002,C20002,Hyderabad,Bengaluru,570,32FT,15.25,9.75,Auto Parts,6.48,20,20,0.18,1.0,1.0,4.66,0.887,0.077,0.015,0.76,2804,1
T10003,C20003,Delhi,Bengaluru,2150,32FT,16.54,7.49,Textiles,4.56,19,18,1.69,0.893,1.0,4.26,0.752,0.012,0.045,0.88,8650,1
T10004,C20004,Mumbai,Ahmedabad,530,LCV,2.18,1.26,Electronics,0.78,17,17,0.36,0.968,1.0,4.65,0.87,0.043,0.038,0.87,360,1
T10005,C20005,Mumbai,Pune,150,Tata 407,3.19,2.19,Electronics,1.26,16,17,0.52,0.949,1.0,3.7,0.887,0.027,0.018,1.25,236,1
T10006,C20006,Bengaluru,Hyderabad,570,LCV,3.18,0.66,Pharma,0.71,23,19,3.82,0.981,0.92,3.69,0.778,0.041,0.053,0.77,313,0
T10007,C20007,Kolkata,Delhi,1500,LCV,3.65,2.49,Pharma,0.57,7,2,4.96,0.891,1.0,5.0,0.893,0.118,0.012,0.75,646,1
T10008,C20008,Hyderabad,Bengaluru,570,20FT,7.77,5.5,FMCG,1.21,12,8,4.14,0.828,1.0,5.0,0.896,0.032,0.014,0.99,682,0
T10009,C20009,Mumbai,Delhi,1400,LCV,3.66,0.68,Pharma,0.3,8,4,4.51,0.858,1.0,4.17,0.879,0.03,0.045,0.68,477,0
T10010,C20010,Mumbai,Delhi,1400,32FT,16.96,2.88,E-commerce Parcels,0.59,13,11,2.8,0.904,1.0,4.59,0.995,0.041,0.029,1.5,1233,1
T10011,C20011,Mumbai,Pune,150,32FT,15.87,9.64,FMCG,0.34,15,12,1.28,0.878,1.0,4.28,0.774,0.022,0.001,0.71,53,1
T10012,C20012,Kolkata,Bhubaneswar,440,LCV,3.19,0.61,Textiles,0.61,7,6,1.35,0.992,0.994,4.18,0.867,0.009,0.011,1.03,276,0
T10013,C20013,Chennai,Hyderabad,630,40FT,18.3,3.96,Electronics,1.23,5,9,3.39,0.961,1.0,3.85,0.995,0.08,0.041,0.96,746,1
T10014,C20014,Hyderabad,Chennai,630,20FT,8.54,5.59,Auto Parts,3.08,18,18,0.0,0.954,1.0,3.56,0.913,0.126,0.024,1.08,2095,1
T10015,C20015,Jaipur,Delhi,280,20FT,9.55,4.92,Pharma,4.59,13,13,0.79,0.874,1.0,3.82,0.958,0.033,0.048,0.84,1073,1
T10016,C20016,Jaipur,Ahmedabad,670,32FT,17.78,4.42,FMCG,3.08,1,1,0.49,1.0,1.0,3.32,0.91,0.036,0.016,1.03,2131,1
T10017,C20017,Bengaluru,Mumbai,980,32FT,15.33,10.47,Textiles,6.15,15,12,2.88,0.918,1.0,4.52,0.98,0.011,0.008,1.24,7485,0
T10018,C20018,Jaipur,Delhi,280,LCV,3.7,1.88,Pharma,0.44,11,9,3.05,0.939,1.0,3.63,0.755,0.006,0.048,0.85,118,1
T10019,C20019,Bengaluru,Hyderabad,570,40FT,22.66,11.68,E-commerce Parcels,0.91,16,17,0.86,0.874,1.0,4.44,0.962,0.033,0.064,0.45,232,0
T10020,C20020,Jaipur,Ahmedabad,670,40FT,23.4,12.8,FMCG,6.74,10,7,3.07,1.0,1.0,3.97,0.821,0.008,0.09,1.05,4759,0
T10021,C20021,Delhi,Jaipur,280,Tata 407,3.18,0.68,Auto Parts,0.77,14,15,1.26,0.915,0.883,4.51,0.995,0.027,0.065,1.38,299,1
T10022,C20022,Ahmedabad,Jaipur,670,Tata 407,3.61,1.33,Furniture,1.01,9,9,0.0,0.863,1.0,3.42,0.768,0.02,0.007,0.99,672,0
T10023,C20023,Mumbai,Ahmedabad,530,20FT,8.29,4.16,Pharma,1.85,23,23,0.46,0.937,1.0,4.32,0.863,0.024,0.037,0.89,870,1
T10024,C20024,Mumbai,Pune,150,Tata 407,4.49,0.34,Industrial Goods,0.36,16,19,2.42,1.0,0.951,3.67,0.584,0.024,0.04,0.93,70,1
T10025,C20025,Delhi,Lucknow,550,LCV,2.33,1.51,Pharma,1.72,22,19,2.85,1.0,0.878,4.98,0.836,0.12,0.018,0.61,573,1
T10026,C20026,Jaipur,Ahmedabad,670,20FT,8.48,1.18,Industrial Goods,0.48,20,20,0.0,0.916,1.0,4.28,0.9,0.013,0.03,0.88,296,0
T10027,C20027,Ahmedabad,Mumbai,530,17FT,6.5,2.82,Auto Parts,0.52,0,0,0.0,0.934,1.0,4.76,0.954,0.035,0.003,0.99,273,1
T10028,C20028,Kolkata,Bhubaneswar,440,17FT,7.28,4.98,E-commerce Parcels,4.19,6,5,1.57,0.844,1.0,5.0,0.762,0.014,0.042,0.86,1578,0
T10029,C20029,Kolkata,Bhubaneswar,440,17FT,7.93,2.74,FMCG,2.55,15,13,2.43,0.879,1.0,4.69,0.925,0.006,0.003,1.11,1240,1
T10030,C20030,Delhi,Bengaluru,2150,20FT,9.57,0.73,Furniture,0.53,6,7,0.67,0.887,1.0,4.96,0.776,0.0,0.001,0.71,801,1
T10031,C20031,Jaipur,Delhi,280,32FT,17.23,12.91,Auto Parts,2.51,18,17,0.0,0.979,1.0,4.42,0.841,0.118,0.049,1.22,856,0
T10032,C20032,Jaipur,Ahmedabad,670,32FT,16.16,4.45,Electronics,4.61,9,4,4.58,0.969,0.965,3.2,0.958,0.074,0.032,1.04,3199,0
T10033,C20033,Kolkata,Bhubaneswar,440,17FT,7.98,4.2,E-commerce Parcels,3.97,16,14,2.63,0.892,1.0,5.0,0.834,0.032,0.0,0.74,1290,0
